,CustomerID,LTDValue,PurchaseFrequency,MostRecentPurchase,PurchaseRecencyDays,Cluster
39,12395.0,2682.63,12,2011-11-20 15:21:00,18,-2
177,12569.0,3152.69,32,2011-12-07 16:24:00,1,-2
245,12647.0,3146.82,12,2011-11-17 12:56:00,21,-2
416,12877.0,1535.77,12,2011-12-06 10:30:00,3,-2
567,13094.0,1927.3200000000002,12,2011-11-18 14:07:00,20,-2
667,13230.0,2806.97,14,2011-12-05 16:03:00,3,-2
914,13571.0,2092.32,12,2011-11-27 10:47:00,12,-2
997,13695.0,2504.13,15,2011-11-08 14:26:00,30,-2
1033,13742.0,3131.02,12,2011-11-23 11:07:00,16,-2
1133,13880.0,3219.77,13,2011-11-18 13:44:00,20,-2
1206,13983.0,2603.43,12,2011-11-10 11:06:00,29,-2
1248,14040.0,3614.92,12,2011-10-30 12:42:00,40,-2
1375,14217.0,2004.98,17,2011-12-08 11:53:00,1,-2
1501,14397.0,2612.96,19,2011-12-07 09:22:00,2,-2
1617,14543.0,3625.33,16,2011-11-11 12:45:00,28,-2
1630,14560.0,2237.77,22,2011-12-02 15:22:00,6,-2
1730,14702.0,3292.14,17,2011-12-08 19:29:00,0,-2
1818,14825.0,2226.91,12,2011-12-06 11:38:00,3,-2
2118,15235.0,2247.51,12,2011-05-06 09:44:00,217,-2
2149,15271.0,2507.07,15,2011-12-02 14:11:00,6,-2
2222,15373.0,2415.91,12,2011-12-01 15:05:00,7,-2
2560,15827.0,1836.0900000000001,14,2011-09-27 15:35:00,72,-2
2580,15854.0,2974.65,12,2011-12-05 13:39:00,3,-2
2685,16011.0,3362.71,16,2011-12-01 16:31:00,7,-2
2860,16241.0,2607.87,13,2011-11-30 11:08:00,9,-2
2916,16326.0,3110.96,14,2011-12-04 10:11:00,5,-2
2967,16393.0,3046.21,13,2011-12-07 12:51:00,1,-2
3017,16458.0,3482.7400000000002,18,2011-12-07 09:34:00,2,-2
3119,16607.0,3347.71,14,2011-11-22 10:24:00,17,-2
3170,16678.0,3109.99,12,2011-12-07 12:17:00,2,-2
3238,16764.0,2799.25,13,2011-12-06 11:41:00,3,-2
3255,16782.0,2279.9,13,2011-11-29 13:20:00,9,-2
3360,16928.0,2847.6,17,2011-09-20 15:10:00,79,-2
3561,17220.0,3198.25,14,2011-11-15 13:47:00,23,-2
3646,17346.0,2676.56,15,2011-12-06 12:18:00,3,-2
3690,17402.0,2598.85,12,2011-12-05 10:15:00,4,-2
3818,17576.0,3622.68,19,2011-12-01 17:56:00,7,-2
3880,17659.0,2999.46,12,2011-11-22 13:29:00,16,-2
3979,17790.0,1965.55,14,2011-11-13 11:30:00,26,-2
4032,17870.0,1894.35,12,2011-12-07 15:07:00,1,-2
4095,17954.0,2332.72,12,2011-12-04 14:15:00,4,-2
4101,17961.0,1296.44,39,2011-11-18 16:55:00,20,-2
4104,17965.0,2622.57,14,2011-11-02 09:31:00,37,-2
4171,18065.0,2392.83,14,2011-12-04 10:30:00,5,-2
4230,18144.0,2888.75,12,2011-12-02 12:46:00,7,-2
4306,18241.0,2073.09,17,2011-11-30 12:10:00,9,-2
4335,18283.0,2094.88,16,2011-12-06 12:02:00,3,-2
