,CustomerID,LTDValue,PurchaseFrequency,MostRecentPurchase,PurchaseRecencyDays,Cluster
55,12415.0,124564.53,20,2011-11-15 14:22:00,23,-3
69,12431.0,6382.45,15,2011-11-04 11:55:00,35,-3
75,12437.0,4447.41,18,2011-12-08 11:35:00,1,-3
100,12471.0,17454.05,28,2011-12-07 15:43:00,1,-3
103,12474.0,6745.79,18,2011-11-22 14:39:00,16,-3
155,12540.0,11580.24,17,2011-11-20 11:31:00,19,-3
189,12583.0,6705.38,15,2011-12-07 08:07:00,2,-3
223,12621.0,12411.67,20,2011-12-08 11:25:00,1,-3
272,12681.0,12365.54,22,2011-11-25 11:33:00,14,-3
273,12682.0,11028.22,31,2011-12-06 10:00:00,3,-3
274,12683.0,7612.57,14,2011-12-05 16:28:00,3,-3
294,12709.0,9430.52,15,2011-11-24 15:38:00,14,-3
296,12712.0,3928.13,13,2011-11-11 08:19:00,28,-3
304,12720.0,5115.7300000000005,25,2011-12-07 08:03:00,2,-3
314,12731.0,18751.91,12,2011-11-16 11:59:00,23,-3
326,12748.0,33715.73,209,2011-12-09 12:20:00,0,-3
334,12757.0,7801.1,13,2011-11-24 12:30:00,15,-3
389,12839.0,5591.42,14,2011-12-07 12:33:00,2,-3
391,12841.0,4022.35,25,2011-12-05 11:13:00,4,-3
431,12901.0,17654.54,28,2011-12-01 10:07:00,8,-3
445,12921.0,16587.09,37,2011-11-30 16:22:00,8,-3
453,12931.0,42055.96,15,2011-11-18 12:39:00,21,-3
481,12971.0,11189.91,86,2011-12-06 12:20:00,3,-3
492,12989.0,6924.110000000001,15,2011-12-06 15:28:00,2,-3
501,13001.0,9818.82,13,2011-12-05 14:51:00,3,-3
504,13004.0,5655.91,18,2011-11-28 11:27:00,11,-3
510,13013.0,4810.9400000000005,13,2011-12-08 15:01:00,0,-3
515,13018.0,7277.7,28,2011-11-23 13:28:00,15,-3
537,13050.0,5836.86,17,2011-11-25 09:18:00,14,-3
550,13069.0,4436.12,24,2011-12-09 08:39:00,0,-3
555,13078.0,12627.94,26,2011-12-06 15:36:00,2,-3
562,13089.0,58825.83,97,2011-12-07 09:02:00,2,-3
563,13090.0,8910.82,14,2011-12-01 12:39:00,8,-3
570,13098.0,28882.44,28,2011-12-08 14:14:00,0,-3
573,13102.0,6424.09,24,2011-12-08 12:52:00,0,-3
581,13113.0,12245.960000000001,24,2011-12-09 12:49:00,0,-3
609,13148.0,3707.12,12,2011-11-10 15:23:00,28,-3
645,13199.0,9817.12,38,2011-12-06 12:30:00,3,-3
690,13263.0,7439.07,34,2011-12-08 13:59:00,0,-3
692,13266.0,3834.2599999999998,12,2011-11-28 14:39:00,10,-3
693,13267.0,4521.49,19,2011-12-07 11:12:00,2,-3
695,13269.0,5346.2300000000005,15,2011-12-08 14:53:00,0,-3
732,13319.0,10845.550000000001,26,2011-12-04 13:34:00,4,-3
795,13408.0,28117.04,62,2011-12-08 09:05:00,1,-3
801,13418.0,6127.43,18,2011-11-28 10:23:00,11,-3
828,13458.0,9646.57,14,2011-12-02 15:29:00,6,-3
835,13468.0,5704.97,37,2011-12-08 10:39:00,1,-3
851,13488.0,8968.31,13,2011-11-22 14:41:00,16,-3
891,13534.0,5870.08,25,2011-12-07 14:52:00,1,-3
900,13552.0,3740.07,12,2011-10-04 15:19:00,65,-3
918,13576.0,6717.34,18,2011-11-29 15:34:00,9,-3
934,13599.0,5153.67,21,2011-12-08 16:10:00,0,-3
980,13668.0,6363.59,21,2011-12-07 12:11:00,2,-3
996,13694.0,65039.62,50,2011-12-06 09:32:00,3,-3
1007,13709.0,6328.05,13,2011-12-06 10:28:00,3,-3
1045,13756.0,5189.52,14,2011-12-07 16:44:00,1,-3
1053,13767.0,17220.36,37,2011-12-07 15:00:00,1,-3
1058,13777.0,25977.16,33,2011-12-09 12:25:00,0,-3
1069,13798.0,37153.85,57,2011-12-08 15:51:00,0,-3
1113,13854.0,8109.5199999999995,25,2011-12-01 09:06:00,8,-3
1126,13871.0,6403.25,13,2011-11-17 10:49:00,22,-3
1134,13881.0,17159.52,20,2011-12-06 12:50:00,3,-3
1195,13969.0,9053.94,18,2011-12-02 15:11:00,6,-3
1208,13985.0,7060.13,15,2011-12-05 17:06:00,3,-3
1218,13999.0,3901.81,12,2011-11-29 13:40:00,9,-3
1240,14031.0,17286.86,19,2011-12-02 17:13:00,6,-3
1257,14051.0,15610.390000000001,23,2011-12-09 10:20:00,0,-3
1262,14056.0,8214.65,23,2011-12-08 13:36:00,0,-3
1263,14057.0,6217.96,17,2011-11-16 10:32:00,23,-3
1265,14060.0,6140.42,19,2011-12-05 12:29:00,4,-3
1266,14062.0,10464.85,12,2011-11-30 10:04:00,9,-3
1282,14085.0,4448.54,18,2011-12-07 13:46:00,1,-3
1284,14088.0,50491.81,13,2011-11-29 16:16:00,9,-3
1287,14092.0,4076.91,14,2011-12-02 12:13:00,7,-3
1289,14096.0,53258.43,17,2011-12-05 17:17:00,3,-3
1300,14110.0,5683.15,12,2011-12-06 12:26:00,3,-3
1317,14135.0,4690.31,15,2011-12-08 11:38:00,1,-3
1333,14156.0,116729.63,54,2011-11-30 10:54:00,9,-3
1351,14180.0,4748.52,25,2011-11-29 10:56:00,10,-3
1355,14189.0,4654.08,15,2011-12-07 15:55:00,1,-3
1356,14191.0,4684.76,13,2011-12-08 09:23:00,1,-3
1358,14194.0,11349.52,21,2011-12-05 10:38:00,4,-3
1421,14282.0,3729.34,15,2011-12-06 17:04:00,2,-3
