,CustomerID,LTDValue,PurchaseFrequency,MostRecentPurchase,PurchaseRecencyDays
2,12348.0,1437.24,4,2011-09-25 13:13:00,74
3,12349.0,1457.55,1,2011-11-21 09:51:00,18
4,12350.0,294.4,1,2011-02-02 16:01:00,309
5,12352.0,2226.04,8,2011-11-03 14:37:00,35
6,12353.0,89.0,1,2011-05-19 17:47:00,203
7,12354.0,1079.4,1,2011-04-21 13:11:00,231
8,12355.0,459.4,1,2011-05-09 13:49:00,213
9,12356.0,2487.43,3,2011-11-17 08:40:00,22
11,12358.0,928.0600000000001,2,2011-12-08 10:26:00,1
13,12360.0,2302.06,3,2011-10-18 15:22:00,51
14,12361.0,174.9,1,2011-02-25 13:51:00,286
16,12363.0,552.0,2,2011-08-22 10:18:00,109
17,12364.0,1208.1,4,2011-12-02 10:22:00,7
18,12365.0,641.38,2,2011-02-21 14:04:00,290
19,12367.0,150.9,1,2011-12-05 16:48:00,3
20,12370.0,3425.69,4,2011-10-19 14:51:00,50
21,12371.0,1527.96,1,2011-10-11 10:43:00,59
22,12372.0,1196.04,3,2011-09-29 12:12:00,71
23,12373.0,324.6,1,2011-02-01 13:10:00,310
24,12374.0,622.93,1,2011-11-14 15:37:00,24
25,12375.0,377.5,2,2011-11-29 10:36:00,10
26,12377.0,1548.12,2,2011-01-28 15:45:00,314
28,12379.0,777.24,2,2011-09-19 10:09:00,81
29,12380.0,2427.81,4,2011-11-18 11:27:00,21
30,12381.0,1474.81,3,2011-12-05 12:44:00,4
31,12383.0,1628.56,5,2011-06-08 08:02:00,184
32,12384.0,425.27000000000004,2,2011-11-11 08:39:00,28
33,12386.0,401.9,2,2011-01-06 12:37:00,337
34,12388.0,2780.66,6,2011-11-24 12:30:00,15
35,12390.0,504.84000000000003,1,2011-09-21 09:33:00,79
36,12391.0,460.89,1,2011-11-18 12:07:00,21
37,12393.0,1582.6000000000001,4,2011-09-28 15:41:00,71
38,12394.0,1080.48,2,2011-10-07 08:08:00,63
40,12397.0,2214.9,2,2011-11-04 09:52:00,35
41,12398.0,1435.66,1,2011-10-25 10:27:00,45
42,12399.0,1033.65,4,2011-08-12 13:15:00,118
43,12401.0,69.3,1,2011-02-09 13:50:00,302
44,12402.0,195.6,1,2011-01-20 13:49:00,322
45,12403.0,391.7,1,2011-10-21 10:51:00,49
46,12405.0,1390.39,1,2011-07-14 08:52:00,148
47,12406.0,3415.3,2,2011-11-17 19:22:00,21
48,12407.0,1507.1200000000001,5,2011-10-21 10:11:00,49
49,12408.0,2618.55,5,2011-11-07 12:27:00,32
51,12410.0,533.33,2,2011-02-04 10:39:00,308
52,12412.0,1142.88,3,2011-09-26 10:16:00,74
53,12413.0,686.1,3,2011-10-04 09:00:00,66
54,12414.0,442.41,3,2011-05-06 14:51:00,216
56,12417.0,3226.1,9,2011-12-06 14:52:00,2
57,12418.0,668.58,1,2011-08-19 11:08:00,112
58,12420.0,600.39,1,2011-10-07 08:55:00,63
59,12421.0,639.04,4,2011-11-24 09:07:00,15
60,12422.0,683.5600000000001,3,2011-09-05 09:48:00,95
61,12423.0,1634.31,8,2011-12-09 10:10:00,0
62,12424.0,1760.96,2,2011-06-30 12:06:00,162
63,12425.0,777.2,1,2011-09-22 17:31:00,77
64,12426.0,510.73,1,2011-05-29 12:26:00,194
65,12427.0,699.8,3,2011-11-18 08:56:00,21
67,12429.0,3388.4,4,2011-11-30 17:22:00,8
68,12430.0,216.4,1,2011-10-27 15:09:00,42
72,12434.0,806.14,2,2011-09-16 12:38:00,84
74,12436.0,429.01000000000005,1,2011-09-01 12:09:00,99
76,12438.0,2466.85,2,2011-11-25 13:28:00,13
77,12441.0,155.55,1,2010-12-08 10:45:00,366
78,12442.0,144.06,1,2011-12-06 14:22:00,2
80,12445.0,77.4,1,2011-11-17 18:43:00,21
81,12446.0,1002.3100000000001,1,2011-10-13 12:50:00,57
82,12447.0,431.49,1,2011-04-10 13:25:00,242
83,12448.0,365.45,1,2011-10-26 13:46:00,43
84,12449.0,3596.29,4,2011-11-17 13:46:00,21
85,12450.0,197.88,2,2011-07-06 14:41:00,155
87,12452.0,348.57,1,2011-11-23 08:05:00,16
88,12453.0,707.09,1,2011-07-28 14:08:00,133
89,12454.0,3528.34,1,2011-10-14 17:13:00,55
90,12455.0,2339.86,5,2011-09-27 15:31:00,72
91,12456.0,2581.04,3,2011-10-26 14:41:00,43
92,12457.0,2043.23,6,2011-10-04 13:13:00,65
